repeat,subject,model,phase,MAE
4,NV042,pv_cnn,Terminal Stance,3.158822695414225
4,NV042,pv_cnn,Pre- Swing,4.356915129555596
4,NV042,pv_cnn,Initial Swing,4.629179292254978
4,NV042,pv_cnn,Mid Swing,3.521077937550015
4,NV042,pv_cnn,Terminal Swing,4.350583099656635
5,NV037,timestamp_lstm,Loading Response,7.583815273311403
5,NV037,timestamp_lstm,Mid Stance,6.961657696300083
5,NV037,timestamp_lstm,Terminal Stance,6.444975597990884
5,NV037,timestamp_lstm,Pre- Swing,7.584848046302795
5,NV037,timestamp_lstm,Initial Swing,7.702510966195001
5,NV037,timestamp_lstm,Mid Swing,7.362045831150478
5,NV037,timestamp_lstm,Terminal Swing,6.826998733811909
5,NV041,timestamp_lstm,Loading Response,4.3368744187884865
5,NV041,timestamp_lstm,Mid Stance,3.8736906581454806
5,NV041,timestamp_lstm,Terminal Stance,4.371929168701172
5,NV041,timestamp_lstm,Pre- Swing,5.940850694974263
5,NV041,timestamp_lstm,Initial Swing,5.9687240819136305
5,NV041,timestamp_lstm,Mid Swing,4.583696524302165
5,NV041,timestamp_lstm,Terminal Swing,3.4509670403268604
5,NV037,pv_lstm,Loading Response,8.289995816018846
5,NV037,pv_lstm,Mid Stance,7.358901374869877
5,NV037,pv_lstm,Terminal Stance,6.245178235901727
5,NV037,pv_lstm,Pre- Swing,6.790264791912502
5,NV037,pv_lstm,Initial Swing,7.807446327474382
5,NV037,pv_lstm,Mid Swing,8.170612355073294
5,NV037,pv_lstm,Terminal Swing,7.749974972671932
5,NV041,pv_lstm,Loading Response,4.445445855458577
5,NV041,pv_lstm,Mid Stance,4.3432943026224775
5,NV041,pv_lstm,Terminal Stance,4.6488452884886
5,NV041,pv_lstm,Pre- Swing,7.1463647153642444
5,NV041,pv_lstm,Initial Swing,7.356136679649353
5,NV041,pv_lstm,Mid Swing,6.029075158966912
5,NV041,pv_lstm,Terminal Swing,3.8442345129119024
5,NV037,timestamp_cnn,Loading Response,7.991071773899926
5,NV037,timestamp_cnn,Mid Stance,7.212801787588331
5,NV037,timestamp_cnn,Terminal Stance,6.396371563275655
5,NV037,timestamp_cnn,Pre- Swing,7.484124845928616
5,NV037,timestamp_cnn,Initial Swing,8.55334560573101
5,NV037,timestamp_cnn,Mid Swing,9.047588142255941
5,NV037,timestamp_cnn,Terminal Swing,8.363382053044107
5,NV041,timestamp_cnn,Loading Response,3.803756448957655
5,NV041,timestamp_cnn,Mid Stance,3.7129880454805164
5,NV041,timestamp_cnn,Terminal Stance,4.162798583507538
5,NV041,timestamp_cnn,Pre- Swing,5.450574921237098
5,NV041,timestamp_cnn,Initial Swing,5.081830074389775
5,NV041,timestamp_cnn,Mid Swing,4.73303880625301
5,NV041,timestamp_cnn,Terminal Swing,4.191716767019695
5,NV037,pv_cnn,Loading Response,7.280256350835164
5,NV037,pv_cnn,Mid Stance,7.118263890345891
5,NV037,pv_cnn,Terminal Stance,6.069333056608836
5,NV037,pv_cnn,Pre- Swing,7.001935462156932
5,NV037,pv_cnn,Initial Swing,7.287688566578759
5,NV037,pv_cnn,Mid Swing,7.333317504988776
5,NV037,pv_cnn,Terminal Swing,7.694235218895806
5,NV041,pv_cnn,Loading Response,3.637684533993403
5,NV041,pv_cnn,Mid Stance,3.560237020254135
5,NV041,pv_cnn,Terminal Stance,3.831815527545081
5,NV041,pv_cnn,Pre- Swing,5.157204806804657
5,NV041,pv_cnn,Initial Swing,4.7281787892182665
5,NV041,pv_cnn,Mid Swing,4.064422014686796
5,NV041,pv_cnn,Terminal Swing,3.874218477143182
