repeat,subject,model,channel,MAE,RMSE,R2
3,NV031,pv_lstm,L Knee Tra,18.778013229370117,19.29422950744629,-20.679100036621094
3,NV031,pv_lstm,L Ankle Sag,6.7177348136901855,10.651124000549316,0.21275651454925537
3,NV031,pv_lstm,L Ankle Fro,3.2138869762420654,3.896820068359375,-6.317958354949951
3,NV031,pv_lstm,L Ankle Tra,18.925661087036133,21.23444175720215,-9.608563423156738
3,NV031,pv_lstm,R Hip Sag,4.725503444671631,6.574077606201172,0.8530095219612122
3,NV031,pv_lstm,R Hip Fro,3.60433292388916,4.648750305175781,0.5571773052215576
3,NV031,pv_lstm,R Hip Tra,19.426578521728516,20.133953094482422,-13.458476066589355
3,NV031,pv_lstm,R Knee Sag,13.570656776428223,16.837900161743164,0.2733681797981262
3,NV031,pv_lstm,R Knee Fro,12.750897407531738,15.47691535949707,-7.667476654052734
3,NV031,pv_lstm,R Knee Tra,4.901593208312988,6.311975002288818,-0.40074098110198975
3,NV031,pv_lstm,R Ankle Sag,6.555511474609375,8.271332740783691,0.3927411437034607
3,NV031,pv_lstm,R Ankle Fro,1.5551929473876953,1.8383666276931763,-2.8917627334594727
3,NV031,pv_lstm,R Ankle Tra,9.679915428161621,12.42015552520752,-2.2316677570343018
3,NV046,pv_lstm,L Hip Sag,4.015058994293213,5.2072367668151855,0.8734365701675415
3,NV046,pv_lstm,L Hip Fro,2.225213050842285,2.8298709392547607,0.39191460609436035
3,NV046,pv_lstm,L Hip Tra,3.8290164470672607,4.848393440246582,-1.94911789894104
3,NV046,pv_lstm,L Knee Sag,7.087156295776367,8.517499923706055,0.8253020644187927
3,NV046,pv_lstm,L Knee Fro,1.810597538948059,2.1575591564178467,0.28914874792099
3,NV046,pv_lstm,L Knee Tra,6.419220447540283,7.600680351257324,-0.19949793815612793
3,NV046,pv_lstm,L Ankle Sag,3.0140485763549805,3.7279391288757324,0.7981728315353394
3,NV046,pv_lstm,L Ankle Fro,0.49000421166419983,0.579174816608429,0.3371316194534302
3,NV046,pv_lstm,L Ankle Tra,2.5739805698394775,3.1821887493133545,0.3278689384460449
3,NV046,pv_lstm,R Hip Sag,3.9413163661956787,4.761480808258057,0.8777375221252441
3,NV046,pv_lstm,R Hip Fro,2.063596725463867,2.392399787902832,0.5250136852264404
3,NV046,pv_lstm,R Hip Tra,2.5865678787231445,3.3110909461975098,-0.7113685607910156
3,NV046,pv_lstm,R Knee Sag,7.545775413513184,8.518402099609375,0.7620751857757568
3,NV046,pv_lstm,R Knee Fro,2.17197322845459,2.617802858352661,0.3396086096763611
3,NV046,pv_lstm,R Knee Tra,5.2252726554870605,6.103360652923584,-0.9383988380432129
3,NV046,pv_lstm,R Ankle Sag,4.926456451416016,5.536812782287598,0.4542526602745056
3,NV046,pv_lstm,R Ankle Fro,0.6553775668144226,0.8303404450416565,-3.7442092895507812
3,NV046,pv_lstm,R Ankle Tra,2.410590648651123,2.9604692459106445,0.22098296880722046
3,NV031,timestamp_cnn,L Hip Sag,7.804274559020996,9.31010627746582,0.7557082772254944
3,NV031,timestamp_cnn,L Hip Fro,4.340483665466309,5.471771240234375,0.4778934121131897
3,NV031,timestamp_cnn,L Hip Tra,5.4554829597473145,6.323973655700684,-0.36901235580444336
3,NV031,timestamp_cnn,L Knee Sag,9.952554702758789,15.06834888458252,0.466852605342865
3,NV031,timestamp_cnn,L Knee Fro,4.711904048919678,5.517684459686279,-1.0203204154968262
3,NV031,timestamp_cnn,L Knee Tra,12.774163246154785,13.419873237609863,-9.487771034240723
3,NV031,timestamp_cnn,L Ankle Sag,4.960697650909424,7.691514015197754,0.5894728899002075
3,NV031,timestamp_cnn,L Ankle Fro,3.4469428062438965,3.8853986263275146,-6.275123596191406
3,NV031,timestamp_cnn,L Ankle Tra,19.65635108947754,21.093429565429688,-9.468133926391602
3,NV031,timestamp_cnn,R Hip Sag,7.515721321105957,9.553741455078125,0.689568042755127
3,NV031,timestamp_cnn,R Hip Fro,4.659708499908447,5.358652591705322,0.4116055369377136
3,NV031,timestamp_cnn,R Hip Tra,10.769594192504883,11.705516815185547,-3.887037754058838
3,NV031,timestamp_cnn,R Knee Sag,9.447943687438965,11.52546215057373,0.6595485210418701
3,NV031,timestamp_cnn,R Knee Fro,12.799293518066406,15.068892478942871,-7.216493606567383
3,NV031,timestamp_cnn,R Knee Tra,9.008504867553711,10.426926612854004,-2.8224332332611084
3,NV031,timestamp_cnn,R Ankle Sag,8.765118598937988,10.632784843444824,-0.0034990310668945312
3,NV031,timestamp_cnn,R Ankle Fro,2.186856508255005,2.400881052017212,-5.63778829574585
3,NV031,timestamp_cnn,R Ankle Tra,6.024606704711914,8.37759017944336,-0.4703167676925659
3,NV046,timestamp_cnn,L Hip Sag,4.08391809463501,5.200982570648193,0.8737404346466064
3,NV046,timestamp_cnn,L Hip Fro,2.2525174617767334,2.845198631286621,0.3853095769882202
3,NV046,timestamp_cnn,L Hip Tra,2.727034568786621,3.5718462467193604,-0.6005967855453491
3,NV046,timestamp_cnn,L Knee Sag,6.115386486053467,7.538150787353516,0.8631662726402283
3,NV046,timestamp_cnn,L Knee Fro,1.3008824586868286,1.6494464874267578,0.584539532661438
3,NV046,timestamp_cnn,L Knee Tra,4.899290084838867,5.737053394317627,0.3166041970252991
3,NV046,timestamp_cnn,L Ankle Sag,2.690495252609253,3.101353645324707,0.8603166937828064
3,NV046,timestamp_cnn,L Ankle Fro,0.5825668573379517,0.6910604238510132,0.056286752223968506
3,NV046,timestamp_cnn,L Ankle Tra,2.38765811920166,2.9190549850463867,0.4344296455383301
3,NV046,timestamp_cnn,R Hip Sag,2.433716297149658,2.915811538696289,0.9541512131690979
3,NV046,timestamp_cnn,R Hip Fro,2.454238176345825,2.626094341278076,0.4276862144470215
3,NV046,timestamp_cnn,R Hip Tra,3.5688138008117676,3.8542330265045166,-1.3188745975494385
3,NV046,timestamp_cnn,R Knee Sag,5.362196922302246,6.729276657104492,0.8515226244926453
3,NV046,timestamp_cnn,R Knee Fro,2.2278778553009033,2.7374331951141357,0.27787137031555176
3,NV046,timestamp_cnn,R Knee Tra,6.708380222320557,7.321715831756592,-1.7895286083221436
3,NV046,timestamp_cnn,R Ankle Sag,4.385718822479248,5.1009416580200195,0.5367956161499023
3,NV046,timestamp_cnn,R Ankle Fro,0.39856407046318054,0.5056368112564087,-0.759255051612854
3,NV046,timestamp_cnn,R Ankle Tra,2.26239275932312,2.684352397918701,0.3595210313796997
3,NV031,pv_cnn,L Hip Sag,4.710679054260254,5.641249656677246,0.9103087186813354
3,NV031,pv_cnn,L Hip Fro,3.5003881454467773,4.255431652069092,0.6842156648635864
3,NV031,pv_cnn,L Hip Tra,6.6748504638671875,8.354050636291504,-1.3890297412872314
3,NV031,pv_cnn,L Knee Sag,9.574318885803223,12.611698150634766,0.6265236735343933
3,NV031,pv_cnn,L Knee Fro,3.680691957473755,4.750438690185547,-0.4975244998931885
3,NV031,pv_cnn,L Knee Tra,18.9561824798584,19.842191696166992,-21.9279727935791
3,NV031,pv_cnn,L Ankle Sag,5.131613254547119,7.3515729904174805,0.6249589920043945
3,NV031,pv_cnn,L Ankle Fro,3.6252033710479736,3.933833360671997,-6.457634925842285
3,NV031,pv_cnn,L Ankle Tra,18.374433517456055,19.580223083496094,-8.020073890686035
3,NV031,pv_cnn,R Hip Sag,3.391453504562378,4.585368633270264,0.9284898042678833
3,NV031,pv_cnn,R Hip Fro,2.9471004009246826,3.9824397563934326,0.6750205755233765
3,NV031,pv_cnn,R Hip Tra,14.53659725189209,15.466378211975098,-7.531820297241211
3,NV031,pv_cnn,R Knee Sag,18.46957778930664,19.25276756286621,0.049997150897979736
3,NV031,pv_cnn,R Knee Fro,10.775054931640625,14.612263679504395,-6.72607421875
3,NV031,pv_cnn,R Knee Tra,9.767271041870117,11.479301452636719,-3.632955551147461
3,NV031,pv_cnn,R Ankle Sag,10.008359909057617,11.015498161315918,-0.07703852653503418
3,NV031,pv_cnn,R Ankle Fro,1.0180060863494873,1.2402578592300415,-0.7713568210601807
3,NV031,pv_cnn,R Ankle Tra,8.179203987121582,9.579399108886719,-0.9224240779876709
3,NV046,pv_cnn,L Hip Sag,4.113526821136475,5.376107215881348,0.8650945425033569
3,NV046,pv_cnn,L Hip Fro,2.0597891807556152,2.6979939937591553,0.4472697377204895
3,NV046,pv_cnn,L Hip Tra,2.7511777877807617,3.3789479732513428,-0.4323838949203491
3,NV046,pv_cnn,L Knee Sag,6.472071647644043,7.468752384185791,0.8656741380691528
3,NV046,pv_cnn,L Knee Fro,0.9364403486251831,1.1758211851119995,0.7888768315315247
3,NV046,pv_cnn,L Knee Tra,4.717199802398682,5.927613735198975,0.27045124769210815
3,NV046,pv_cnn,L Ankle Sag,3.233644485473633,3.859743356704712,0.7836490273475647
3,NV046,pv_cnn,L Ankle Fro,0.5037869215011597,0.5986770987510681,0.2917391061782837
3,NV046,pv_cnn,L Ankle Tra,2.891961097717285,3.5148887634277344,0.17997843027114868
3,NV046,pv_cnn,R Hip Sag,2.1477010250091553,2.655790328979492,0.9619638323783875
3,NV046,pv_cnn,R Hip Fro,3.1713669300079346,3.392289161682129,0.04500889778137207
3,NV046,pv_cnn,R Hip Tra,1.694342851638794,2.2030210494995117,0.24240237474441528
3,NV046,pv_cnn,R Knee Sag,5.079878807067871,6.169731616973877,0.8751881122589111
3,NV046,pv_cnn,R Knee Fro,1.4351379871368408,1.717180848121643,0.7158421874046326
3,NV046,pv_cnn,R Knee Tra,4.434751510620117,5.078569412231445,-0.34210920333862305
3,NV046,pv_cnn,R Ankle Sag,4.320727348327637,5.12852668762207,0.531772255897522
3,NV046,pv_cnn,R Ankle Fro,0.3215090334415436,0.40437325835227966,-0.12516510486602783
3,NV046,pv_cnn,R Ankle Tra,1.4793601036071777,1.8176509141921997,0.70633864402771
4,NV033,timestamp_lstm,L Hip Sag,7.6552534103393555,9.106342315673828,0.7279490828514099
4,NV033,timestamp_lstm,L Hip Fro,3.113840341567993,4.030450820922852,0.10566961765289307
4,NV033,timestamp_lstm,L Hip Tra,2.9951930046081543,3.6228208541870117,0.17367196083068848
4,NV033,timestamp_lstm,L Knee Sag,9.373119354248047,12.187333106994629,0.7516907453536987
4,NV033,timestamp_lstm,L Knee Fro,3.5664849281311035,5.157344818115234,0.6277567148208618
4,NV033,timestamp_lstm,L Knee Tra,6.405917167663574,8.541590690612793,-0.22779583930969238
4,NV033,timestamp_lstm,L Ankle Sag,4.812556266784668,6.480668544769287,0.36090731620788574
4,NV033,timestamp_lstm,L Ankle Fro,0.8179135322570801,1.0031921863555908,-1.313812255859375
4,NV033,timestamp_lstm,L Ankle Tra,2.7821104526519775,3.436756134033203,-0.1745690107345581
4,NV033,timestamp_lstm,R Hip Sag,10.014546394348145,11.639674186706543,0.515587329864502
4,NV033,timestamp_lstm,R Hip Fro,5.911355018615723,6.232893943786621,-1.9636626243591309
4,NV033,timestamp_lstm,R Hip Tra,2.777549982070923,3.3261516094207764,0.6349890232086182
4,NV033,timestamp_lstm,R Knee Sag,8.772734642028809,11.924707412719727,0.7285048961639404
4,NV033,timestamp_lstm,R Knee Fro,4.271574020385742,4.816029071807861,0.5072221159934998
4,NV033,timestamp_lstm,R Knee Tra,3.2769699096679688,4.255553722381592,0.2504522204399109
4,NV033,timestamp_lstm,R Ankle Sag,3.5739424228668213,4.819424152374268,0.49453461170196533
4,NV033,timestamp_lstm,R Ankle Fro,0.4574882388114929,0.5425724387168884,-0.766676664352417
4,NV033,timestamp_lstm,R Ankle Tra,5.478888034820557,5.944082260131836,-4.0309343338012695
4,NV045,timestamp_lstm,L Hip Sag,3.725966453552246,5.355309963226318,0.874341607093811
4,NV045,timestamp_lstm,L Hip Fro,2.222627639770508,2.6725761890411377,0.5335063934326172
4,NV045,timestamp_lstm,L Hip Tra,6.43097448348999,8.750306129455566,-0.9273103475570679
4,NV045,timestamp_lstm,L Knee Sag,5.843401908874512,7.785513877868652,0.838897168636322
4,NV045,timestamp_lstm,L Knee Fro,2.2700870037078857,2.7113804817199707,0.004449129104614258
4,NV045,timestamp_lstm,L Knee Tra,7.138567924499512,8.834044456481934,-0.06663703918457031
4,NV045,timestamp_lstm,L Ankle Sag,2.607372999191284,2.9840087890625,0.846859872341156
4,NV045,timestamp_lstm,L Ankle Fro,1.0488141775131226,1.2281240224838257,0.3053489923477173
4,NV045,timestamp_lstm,L Ankle Tra,5.412693023681641,6.312182903289795,0.20554542541503906
4,NV045,timestamp_lstm,R Hip Sag,6.824259281158447,8.107525825500488,0.7896358966827393
4,NV045,timestamp_lstm,R Hip Fro,3.91519832611084,4.3572998046875,-0.9829888343811035
4,NV045,timestamp_lstm,R Hip Tra,3.0794551372528076,3.954230785369873,0.13129794597625732
4,NV045,timestamp_lstm,R Knee Sag,9.079668045043945,10.713347434997559,0.637850284576416
4,NV045,timestamp_lstm,R Knee Fro,1.995206594467163,2.625678539276123,0.4458005428314209
